epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,391.229,1.24938,2.95615,1.21752,1.34404,0.71382,0.75859,0.75643,0.53907,0.76224,0.74227,0.78683,0.49274,1.00061,1.93094,0.88072,1.22022,0.0008516,0.0008516,0.0008516
31,404.508,1.2378,2.94628,1.18843,1.34795,0.74754,0.80894,0.80902,0.58355,0.75649,0.81959,0.80589,0.52131,0.93505,1.97425,0.86031,1.18629,0.000812,0.000812,0.000812
32,417.746,1.23674,2.97695,1.20973,1.34075,0.82798,0.71134,0.79914,0.57431,0.82523,0.73018,0.80268,0.52443,0.96963,2.11491,0.91092,1.20987,0.0007724,0.0007724,0.0007724
33,430.904,1.21744,2.8841,1.1871,1.33467,0.76551,0.71649,0.77477,0.55826,0.76,0.71134,0.77629,0.50765,0.99096,2.03822,0.97713,1.20751,0.0007328,0.0007328,0.0007328
34,444.1,1.21775,2.94161,1.21129,1.35642,0.81145,0.67526,0.76055,0.55863,0.82094,0.68533,0.75908,0.49533,0.9409,2.19811,0.94145,1.20132,0.0006932,0.0006932,0.0006932
35,457.32,1.18051,2.84544,1.13322,1.3127,0.87769,0.70619,0.77521,0.57896,0.91062,0.73196,0.81822,0.54325,0.91505,1.99533,0.84992,1.18085,0.0006536,0.0006536,0.0006536
36,470.606,1.2172,2.85405,1.14388,1.32419,0.79784,0.71203,0.78215,0.57291,0.77832,0.70103,0.7798,0.52621,0.92056,1.8866,0.92173,1.15897,0.000614,0.000614,0.000614
37,483.759,1.19115,2.76638,1.12551,1.31953,0.76751,0.74227,0.77998,0.58407,0.77895,0.75258,0.77786,0.53208,0.95556,1.96095,0.85764,1.20566,0.0005744,0.0005744,0.0005744
38,497.088,1.18,2.73436,1.11981,1.30792,0.75797,0.76804,0.77869,0.59487,0.78331,0.7826,0.78681,0.54448,0.91888,1.8872,0.8334,1.17586,0.0005348,0.0005348,0.0005348
39,510.473,1.16972,2.71617,1.09935,1.29677,0.74011,0.80738,0.78903,0.59911,0.84719,0.68557,0.79533,0.52579,0.94389,1.88143,0.86639,1.2084,0.0004952,0.0004952,0.0004952
40,523.639,1.17783,2.81716,1.13412,1.31383,0.82777,0.69371,0.78442,0.57912,0.79715,0.74227,0.79236,0.5323,0.91134,1.9914,0.85578,1.16709,0.0004556,0.0004556,0.0004556
41,538.777,1.15884,2.70084,1.11889,1.33224,0.77995,0.78564,0.79603,0.5999,0.80042,0.80626,0.81908,0.55286,0.90755,1.89151,0.8538,1.17004,0.000416,0.000416,0.000416
42,551.698,1.10648,2.56373,1.07127,1.30282,0.81054,0.80412,0.81861,0.62065,0.82093,0.81443,0.8339,0.58466,0.86695,1.9222,0.77285,1.15166,0.0003764,0.0003764,0.0003764
43,564.504,1.08823,2.55426,1.029,1.30701,0.74026,0.76289,0.7926,0.61162,0.76286,0.77835,0.80475,0.5447,0.89843,2.01732,0.85115,1.17153,0.0003368,0.0003368,0.0003368
44,577.2,1.09968,2.53603,1.03635,1.31688,0.82488,0.76804,0.8201,0.61183,0.85753,0.77835,0.82446,0.56256,0.87775,1.85018,0.78917,1.15647,0.0002972,0.0002972,0.0002972
45,589.801,1.08417,2.49027,1.00851,1.30276,0.8834,0.73196,0.82626,0.63146,0.91414,0.74227,0.83089,0.57966,0.85691,1.80073,0.78093,1.13547,0.0002576,0.0002576,0.0002576
46,602.507,1.05869,2.43674,0.97734,1.26539,0.75842,0.79295,0.81221,0.62644,0.76385,0.8003,0.8161,0.56498,0.84204,1.84659,0.79357,1.12462,0.000218,0.000218,0.000218
47,615.044,1.04469,2.39247,0.95392,1.26971,0.75393,0.80412,0.82689,0.64489,0.76802,0.81915,0.84687,0.57919,0.83532,1.82322,0.76683,1.12409,0.0001784,0.0001784,0.0001784
48,627.765,1.04085,2.38577,0.96213,1.26833,0.74509,0.75773,0.78902,0.59958,0.75619,0.76804,0.78099,0.54146,0.87311,1.99082,0.86542,1.15328,0.0001388,0.0001388,0.0001388
49,640.288,1.04877,2.41383,0.98484,1.28031,0.76843,0.74742,0.80244,0.60805,0.81814,0.74205,0.80641,0.55506,0.88025,1.86479,0.8325,1.16194,9.92e-05,9.92e-05,9.92e-05
50,652.781,1.00528,2.31635,0.91788,1.24129,0.7883,0.74858,0.80957,0.61411,0.81289,0.76804,0.82768,0.56891,0.86193,1.83342,0.7905,1.1563,5.96e-05,5.96e-05,5.96e-05
